applicant_name,gender,age,city,employment_type,bank,monthly_income_pkr,credit_score,loan_amount_pkr,loan_tenure_months,existing_loans,default_history,has_credit_card,approved
Hira Iqbal,F,50,Multan,Self-Employed,Faysal Bank,95100,679,1228000,36,0,0,0,0
Kashif Shah,M,56,Faisalabad,Salaried,Faysal Bank,131900,754,297000,12,1,0,1,1
Anaya Khan,F,43,Peshawar,Self-Employed,Faysal Bank,128700,755,1246000,12,2,0,1,0
Rabia Hussain,F,37,Hyderabad,Self-Employed,Faysal Bank,83400,721,75000,6,1,0,0,1
Sajid Butt,M,21,Islamabad,Salaried,Standard Chartered,130900,676,946000,60,0,0,1,1
Rida Ali,F,45,Faisalabad,Contract,Askari,104900,604,791000,18,1,1,1,0
Maryam Niaz,F,57,Lahore,Salaried,JS Bank,151600,692,894000,36,1,0,1,0
Hira Khan,F,26,Faisalabad,Self-Employed,MCB,136100,638,678000,60,0,0,0,0
Sameer Iqbal,M,30,Lahore,Salaried,NBP,130500,801,1181000,12,1,0,1,1
Asad Gill,M,42,Faisalabad,Salaried,JS Bank,201300,757,922000,24,1,0,0,0
Arslan Hussain,M,42,Karachi,Salaried,Meezan,111700,670,866000,12,0,0,1,0
Alina Tariq,F,37,Rawalpindi,Self-Employed,NBP,52900,673,824000,18,0,0,0,0
Shahzaib Chaudhry,M,26,Islamabad,Business Owner,Meezan,218600,579,235000,24,0,0,1,1
Zainab Syed,F,40,Karachi,Business Owner,Standard Chartered,214700,646,929000,24,2,0,1,0
Ali Javed,M,41,Rawalpindi,Salaried,UBL,56800,824,355000,18,2,0,1,0
Asad Mirza,M,28,Lahore,Self-Employed,Standard Chartered,74600,707,1283000,24,1,0,0,0
Awais Amin,M,45,Islamabad,Salaried,JS Bank,97300,672,637000,12,0,0,0,0
Sameer Farooq,M,55,Rawalpindi,Salaried,MCB,78300,709,748000,36,1,0,1,0
Sahar Khan,F,24,Rawalpindi,Salaried,UBL,104100,660,1250000,60,0,0,1,0
Ali Butt,M,24,Rawalpindi,Self-Employed,Askari,122400,677,541000,24,2,0,0,0
Nimra Farooq,F,43,Lahore,Self-Employed,Faysal Bank,132900,679,565000,24,1,1,0,0
Abdullah Shah,M,52,Islamabad,Contract,Meezan,150600,802,791000,24,2,0,1,1
Amna Ahmed,F,25,Peshawar,Self-Employed,MCB,246400,524,1304000,18,2,0,1,0
Mahnoor Rajput,F,58,Karachi,Self-Employed,Faysal Bank,73000,629,1207000,36,0,0,1,0
Mehak Syed,F,40,Faisalabad,Salaried,NBP,124900,519,1016000,12,0,1,0,0
Hamza Latif,M,25,Karachi,Salaried,Meezan,169300,648,50000,24,1,0,1,0
Kashif Saeed,M,38,Lahore,Contract,Meezan,149300,672,1279000,60,0,0,0,0
Arslan Hussain,M,38,Karachi,Self-Employed,HBL,63000,723,327000,18,0,0,0,0
Faisal Amin,M,36,Faisalabad,Salaried,Standard Chartered,120100,598,857000,12,0,0,0,1
Kiran Latif,F,44,Karachi,Unemployed,Meezan,40300,619,1560000,48,0,0,0,0
Zainab Tariq,F,30,Rawalpindi,Salaried,Standard Chartered,82300,726,447000,6,0,0,1,0
Kiran Akhtar,F,60,Lahore,Self-Employed,MCB,105800,714,1238000,24,2,0,1,0
Anas Nawaz,M,32,Karachi,Salaried,HBL,162000,658,700000,12,0,1,0,0
Shahzeb Mehmood,M,55,Sialkot,Salaried,HBL,98800,515,50000,60,3,0,1,0
Shahzeb Ahmed,M,53,Karachi,Salaried,NBP,147300,677,1218000,36,0,0,0,0
Umar Raza,M,37,Karachi,Business Owner,Faysal Bank,265700,694,670000,60,0,0,0,1
Imran Rehman,M,28,Lahore,Salaried,JS Bank,130000,688,522000,12,0,0,1,1
Rizwan Rajput,M,59,Karachi,Salaried,NBP,104600,565,1240000,36,0,0,0,0
Muhammad Butt,M,43,Faisalabad,Salaried,Askari,149700,599,970000,24,1,1,0,0
Dania Haider,F,34,Karachi,Business Owner,UBL,188500,740,453000,12,1,0,0,1
